timestamp,count,event_type
18834673,4221060,sync_qpc_time
18834949,4221060,cpu_time
18918032,4221061,sync_qpc_time
18918318,4221061,cpu_time
19001491,4221062,sync_qpc_time
19001828,4221062,cpu_time
19084755,4221063,sync_qpc_time
19084949,4221063,cpu_time
19168119,4221064,sync_qpc_time
19168462,4221064,cpu_time
19251376,4221065,sync_qpc_time
19251758,4221065,cpu_time
19334749,4221066,sync_qpc_time
19335388,4221066,cpu_time
19418078,4221067,sync_qpc_time
19418328,4221067,cpu_time
19501459,4221068,sync_qpc_time
19501711,4221068,cpu_time
19584764,4221069,sync_qpc_time
19585233,4221069,cpu_time
19668166,4221070,sync_qpc_time
19668423,4221070,cpu_time
19751463,4221071,sync_qpc_time
19751691,4221071,cpu_time
19834815,4221072,sync_qpc_time
19835077,4221072,cpu_time
19918170,4221073,sync_qpc_time
19918721,4221073,cpu_time
20001503,4221074,sync_qpc_time
20001728,4221074,cpu_time
20084843,4221075,sync_qpc_time
20085116,4221075,cpu_time
20168195,4221076,sync_qpc_time
20168427,4221076,cpu_time
20251557,4221077,sync_qpc_time
20251843,4221077,cpu_time
20334940,4221078,sync_qpc_time
20338289,4221078,cpu_time
20418269,4221079,sync_qpc_time
20418537,4221079,cpu_time
20501590,4221080,sync_qpc_time
20501852,4221080,cpu_time
20584973,4221081,sync_qpc_time
20585522,4221081,cpu_time
20668296,4221082,sync_qpc_time
20668549,4221082,cpu_time
20751640,4221083,sync_qpc_time
20752093,4221083,cpu_time
20834981,4221084,sync_qpc_time
20835264,4221084,cpu_time
20918326,4221085,sync_qpc_time
20918614,4221085,cpu_time
21001686,4221086,sync_qpc_time
21002075,4221086,cpu_time
21085002,4221087,sync_qpc_time
21085225,4221087,cpu_time
21168511,4221088,sync_qpc_time
21168922,4221088,cpu_time
21251678,4221089,sync_qpc_time
21251915,4221089,cpu_time
21335057,4221090,sync_qpc_time
21335493,4221090,cpu_time
21419430,4221091,sync_qpc_time
21419769,4221091,cpu_time
21501734,4221092,sync_qpc_time
21502005,4221092,cpu_time
21585078,4221093,sync_qpc_time
21585337,4221093,cpu_time
21668423,4221094,sync_qpc_time
21668694,4221094,cpu_time
21751832,4221095,sync_qpc_time
21752101,4221095,cpu_time
21835115,4221096,sync_qpc_time
21835357,4221096,cpu_time
21918486,4221097,sync_qpc_time
21918755,4221097,cpu_time
22001795,4221098,sync_qpc_time
22002160,4221098,cpu_time
22085199,4221099,sync_qpc_time
22085549,4221099,cpu_time
22168566,4221100,sync_qpc_time
22168833,4221100,cpu_time
22251848,4221101,sync_qpc_time
22252235,4221101,cpu_time
22335252,4221102,sync_qpc_time
22336608,4221102,cpu_time
22418557,4221103,sync_qpc_time
22418835,4221103,cpu_time
22501921,4221104,sync_qpc_time
22502177,4221104,cpu_time
22585215,4221105,sync_qpc_time
22585613,4221105,cpu_time
22668626,4221106,sync_qpc_time
22668900,4221106,cpu_time
22751932,4221107,sync_qpc_time
22752198,4221107,cpu_time
22835356,4221108,sync_qpc_time
22835937,4221108,cpu_time
22918643,4221109,sync_qpc_time
22918909,4221109,cpu_time
23001980,4221110,sync_qpc_time
23002254,4221110,cpu_time
23085304,4221111,sync_qpc_time
23085639,4221111,cpu_time
23168659,4221112,sync_qpc_time
23169062,4221112,cpu_time
23252031,4221113,sync_qpc_time
23252294,4221113,cpu_time
23335330,4221114,sync_qpc_time
23335740,4221114,cpu_time
23418751,4221115,sync_qpc_time
23419013,4221115,cpu_time
23502107,4221116,sync_qpc_time
23502441,4221116,cpu_time
23585424,4221117,sync_qpc_time
23585739,4221117,cpu_time
23669117,4221118,sync_qpc_time
23669555,4221118,cpu_time
23752153,4221119,sync_qpc_time
23752469,4221119,cpu_time
23835399,4221120,sync_qpc_time
23835638,4221120,cpu_time
23918730,4221121,sync_qpc_time
23918994,4221121,cpu_time
24002096,4221122,sync_qpc_time
24002372,4221122,cpu_time
24085438,4221123,sync_qpc_time
24086439,4221123,cpu_time
24168819,4221124,sync_qpc_time
24169099,4221124,cpu_time
24252112,4221125,sync_qpc_time
24252344,4221125,cpu_time
24335505,4221126,sync_qpc_time
24335789,4221126,cpu_time
24418850,4221127,sync_qpc_time
24419115,4221127,cpu_time
24502183,4221128,sync_qpc_time
24502409,4221128,cpu_time
24585491,4221129,sync_qpc_time
24585719,4221129,cpu_time
24668845,4221130,sync_qpc_time
24669085,4221130,cpu_time
24753269,4221131,sync_qpc_time
24753543,4221131,cpu_time
24835543,4221132,sync_qpc_time
24835783,4221132,cpu_time
24918962,4221133,sync_qpc_time
24919227,4221133,cpu_time
25002231,4221134,sync_qpc_time
25002482,4221134,cpu_time
25085670,4221135,sync_qpc_time
25085934,4221135,cpu_time
25168965,4221136,sync_qpc_time
25169226,4221136,cpu_time
25252288,4221137,sync_qpc_time
25252493,4221137,cpu_time
25335615,4221138,sync_qpc_time
25335844,4221138,cpu_time
25418968,4221139,sync_qpc_time
25419223,4221139,cpu_time
25502366,4221140,sync_qpc_time
25502649,4221140,cpu_time
25585705,4221141,sync_qpc_time
25585976,4221141,cpu_time
25669025,4221142,sync_qpc_time
25669258,4221142,cpu_time
25752367,4221143,sync_qpc_time
25752612,4221143,cpu_time
25835693,4221144,sync_qpc_time
25835918,4221144,cpu_time
25919069,4221145,sync_qpc_time
25919327,4221145,cpu_time
26002385,4221146,sync_qpc_time
26002601,4221146,cpu_time
26085741,4221147,sync_qpc_time
26085996,4221147,cpu_time
26169092,4221148,sync_qpc_time
26169443,4221148,cpu_time
26252423,4221149,sync_qpc_time
26252640,4221149,cpu_time
26335789,4221150,sync_qpc_time
26336016,4221150,cpu_time
26419121,4221151,sync_qpc_time
26419340,4221151,cpu_time
26502471,4221152,sync_qpc_time
26502718,4221152,cpu_time
26585810,4221153,sync_qpc_time
26586047,4221153,cpu_time
26669158,4221154,sync_qpc_time
26669400,4221154,cpu_time
26752599,4221155,sync_qpc_time
26752857,4221155,cpu_time
26835872,4221156,sync_qpc_time
26836200,4221156,cpu_time
26919235,4221157,sync_qpc_time
26919507,4221157,cpu_time
27002574,4221158,sync_qpc_time
27002811,4221158,cpu_time
27085965,4221159,sync_qpc_time
27086693,4221159,cpu_time
27169257,4221160,sync_qpc_time
27169508,4221160,cpu_time
27252574,4221161,sync_qpc_time
27252836,4221161,cpu_time
27335932,4221162,sync_qpc_time
27336156,4221162,cpu_time
27419274,4221163,sync_qpc_time
27419520,4221163,cpu_time
27502628,4221164,sync_qpc_time
27502883,4221164,cpu_time
27585967,4221165,sync_qpc_time
27586233,4221165,cpu_time
27669296,4221166,sync_qpc_time
27669551,4221166,cpu_time
27752729,4221167,sync_qpc_time
27753007,4221167,cpu_time
